name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
E-45 T-27 M-14,21215,Mount Washington,5,NORTHWESTERN,"2700 Glenn Ave
Baltimore, MD
"
E-46,21215,Woodmere,5,NORTHWESTERN,"5500 Reisterstown Rd
Baltimore, MD
"
E-40 T-12 BC-5,21207,Dorchester,6,NORTHWESTERN,"3906 Liberty Heights Ave
Baltimore, MD
"
E-29 M-17,21215,Central Park Heights,6,NORTHWESTERN,"4312 Park Heights Ave
Baltimore, MD
"
E-44 T-25,21210,Roland Park,6,NORTHERN,"2 Upland Rd
Baltimore, MD
"
E-21 M-11,21211,Hampden,14,NORTHERN,"3724 Roland Ave
Baltimore, MD
"
E-31 M-3,21218,Better Waverly,14,NORTHERN,"3123 Greenmount Ave
Baltimore, MD
"
"E-43 M-18, BC-4",21239,Glen Oaks,4,NORTHERN,"1100 Walters Ave
Baltimore, MD
"
E-4 T-29,21239,New Northwood,3,NORTHEASTERN,"1201 Coldspring La
Baltimore, MD
"
E-56,21214,Westfield,3,NORTHEASTERN,"6512 Harford Rd
Baltimore, MD
"
"E-42 M-6, M-13",21214,Lauraville,3,NORTHEASTERN,"4522 Harford Rd
Baltimore, MD
"
E-33 M-16 T-5,21218,East Baltimore Midway,12,EASTERN,"801 25th St
Baltimore, MD
"
E-27 T-26,21206,Parkside,2,NORTHEASTERN,"4315 Mannasota Ave
Baltimore, MD
"
E-20 T-18 M-8,21216,Walbrook,7,SOUTHWESTERN,"3130 North Ave
Baltimore, MD
"
E-30 T-8 M-12,21229,Carroll-South Hilton,8,SOUTHWESTERN,"3220 Frederick Ave
Baltimore, MD
"
E-47,21230,Morrell Park,10,SOUTHWESTERN,"2608 Washington Blvd
Baltimore, MD
"
E-14,21223,Booth-Boyd,9,SOUTHWESTERN,"1908 Hollins St
Baltimore, MD
"
E-36,21223,Midtown-Edmondson,9,WESTERN,"2249 Edmondson Ave
Baltimore, MD
"
E-52,21217,Parkview/Woodbrook,7,WESTERN,"3525 Woodbrook Ave
Baltimore, MD
"
E-8 T-10 M-15 BC-3,21217,Harlem Park,11,WESTERN,"1503 Lafayette Ave
Baltimore, MD
"
E-13 T-16 M-4,21217,Madison Park,11,CENTRAL,"405 McMechen St
Baltimore, MD
"
E-23 T-2 M-1 BC-6 R-1 AF-1,21201,Downtown,11,CENTRAL,"15 Eutaw St
Baltimore, MD
"
Headquarters,21202,Downtown,11,CENTRAL,"601 Fayette St
Baltimore, MD
"
Communications,21202,Downtown,11,CENTRAL,"601 Fayette St
Baltimore, MD
"
E-6 T-1 M-7 BC-2 AF-2 Sh.Cmd,21202,Oldtown,12,EASTERN,"1100 Hillen St
Baltimore, MD
"
T-15,21213,Broadway East,13,EASTERN,"1223 Montford Ave
Baltimore, MD
"
E-5 T-3 M-10,21231,Upper Fells Point,1,SOUTHEASTERN,"2120 Eastern Ave
Baltimore, MD
"
E-51,21205,Ellwood Park/Monument,13,SOUTHEASTERN,"646 Highland Ave
Baltimore, MD
"
E-41 BC-1,21224,Canton,1,SOUTHEASTERN,"520 Conkling St
Baltimore, MD
"
E-50 M-2,21224,Broening Manor,1,SOUTHEASTERN,"1601 Broening Hwy
Baltimore, MD
"
E-55 T-23,21230,Washington Village,9,SOUTHERN,"1229 Bush St
Baltimore, MD
"
E-2,21230,Federal Hill,11,SOUTHERN,"800 Light St
Baltimore, MD
"
T-6,21230,Federal Hill,10,SOUTHERN,"1227 Hanover St
Baltimore, MD
"
E-26 M-5,21230,Riverside,10,SOUTHERN,"399 Fort Ave
Baltimore, MD
"
FB-1 FRB-1,21230,Locust Point Industrial Area,10,SOUTHERN,"2609 Leahy St
Baltimore, MD
"
E-58,21230,Westport,10,SOUTHERN,"2425 Annanopolis Rd
Baltimore, MD
"
E-35 T-21 M-9 BC-6 Hazmat-1,21225,Brooklyn,10,SOUTHERN,"430 Maude Ave
Baltimore, MD
"
E-57,21226,Curtis Bay,10,SOUTHERN,"4427 Pennington Ave
Baltimore, MD
"
E-124 T-20,21224,Hopkins Bayview,2,SOUTHEASTERN,"5714 Eastern Ave
Baltimore, MD
"
E-54 T-30,21206,Cedmont,2,NORTHEASTERN,"5821 Belair Rd
Baltimore, MD
"
E-53,21229,Hunting Ridge,8,SOUTHWESTERN,"608 Swann Rd
Baltimore, MD
"
